ulasan_asli;kategori;preprocessed_text;tokens_count
saya sudah bilang minta less sugar untuk minuman tapi yang datang tetap manis sekali, padahal saat itu saya membawa tamu penting. sepertinya pelayan tidak memperhatikan permintaan khusus pelanggan. sangat kecewa dengan ini. sangat tidak profesional menurut saya;pelayanan;bilang minta less sugar minum datang tetap manis sekali padahal bawa tamu penting seperti layan tidak perhati minta khusus langgan sangat kecewa sangat tidak profesional;25
malam ini saya kecewa karena kebersihan kafe secara keseluruhan sangat kurang dan perlu diperhatikan serius oleh manajemen, mulai. bukan cuma itu, layout tempat duduk terlalu berdempetan satu sama lain sehingga tidak ada privasi dan terasa sangat sesak, saya bisa mendengar percakapan meja sebelah dengan jelas. yang lebih parah lagi banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan sangat membutuhkan colokan untuk mengisi daya perangkat mereka;suasana;malam kecewa bersih kafe seluruh sangat kurang perlu perhati serius manajemen mulai bukan cuma layout tempat duduk terlalu dempet satu sama tidak privasi asa sangat sesak dengar cakap meja belah jelas lebih parah banyak colok listrik kafe rusak tidak fungsi padahal langgan sangat butuh colok isi daya perangkat;48
interior kafe sudah terlihat kusam dan butuh renovasi, ini bukan pertama kalinya terjadi. cat dinding mengelupas dan beberapa hiasan sudah rusak. saya juga kecewa karena wifi di kafe mati total hari ini dan tidak ada penjelasan dari staf kapan akan diperbaiki. saya juga kecewa karena lantai kafe kotor dan terasa lengket saat diinjak terutama di area sekitar kasir dan pintu masuk, sepertinya jarang dipel;suasana;interior kafe lihat kusam butuh renovasi bukan pertama kali jadi cat dinding kelupas beberapa hias rusak kecewa wifi kafe mati total hari tidak jelas staf kapan baik kecewa lantai kafe kotor asa lengket injak utama area kasir pintu masuk seperti jarang pel;42
pencahayaan di kafe terlalu redup di beberapa sudut sehingga sulit untuk membaca menu atau mengerjakan tugas. tidak hanya itu, apalagi saat itu saya sedang buru-buru. lantai kafe kotor dan terasa lengket saat diinjak terutama di area sekitar kasir dan pintu masuk, sepertinya jarang dipel. semoga manajemen segera menindaklanjuti masalah ini;suasana;cahaya kafe terlalu redup beberapa sudut sulit baca menu kerja tugas tidak sedang buru buru lantai kafe kotor asa lengket injak utama area kasir pintu masuk seperti jarang pel moga manajemen segera menindaklanjuti masalah;34
karyawan kafe mengobrol dan bercanda sendiri padahal ada pelanggan yang sudah menunggu untuk dilayani. belum lagi order saya sudah setengah jam lebih tapi belum juga diantar, waktu saya tanya ke pelayan katanya masih diproses. mohon segera diperbaiki demi kenyamanan semua pelanggan;pelayanan;karyawan kafe obrol canda sendiri padahal langgan tunggu layan belum order tengah jam lebih belum antar waktu tanya layan kata proses mohon segera baik nyaman semua langgan;27
saat saya datang bersama teman, saya kecewa karena pesanan saya baru datang setelah menunggu 40 menit lebih, padahal saya hanya memesan minuman saja. seharusnya tidak selama itu untuk membuat satu gelas kopi. mohon segera diperbaiki demi kenyamanan semua pelanggan;pelayanan;datang sama teman kecewa pesan baru datang tunggu menit lebih padahal mes minum tidak lama buat satu gelas kopi mohon segera baik nyaman semua langgan;25
porsi makanan di kafe meine welt tidak sesuai dengan harga yang ditawarkan, saya datang jauh-jauh dari rumah ke sini. amat sedikit untuk harga yang harus dibayar. selain itu beef teriyaki yang saya pesan dagingnya kurang empuk dan keras saat dikunyah, bumbunya juga tidak meresap sempurna. saya juga kecewa karena porsi french fries yang saya terima cuma segenggam kecil dalam piring besar, terlihat banget menyedihkan;produk;porsi makan kafe meine welt tidak sesuai harga tawar datang jauh jauh rumah sini sedikit harga bayar beef teriyaki pesan daging kurang empuk keras kunyah bumbu tidak resap sempurna kecewa porsi french fries terima cuma genggam kecil piring besar lihat sangat sedih;42
terakhir kali saya berkunjung, teman saya juga merasakan hal yang sama. pengalaman pelayanan terburuk yang pernah saya rasakan di kafe ini, mulai dari sikap pelayan yang tidak ramah hingga pesanan yang datangnya sangat lama. belum lagi pesanan saya tidak kunjung datang meski sudah menunggu sangat lama di meja, saya terpaksa menghampiri kasir untuk menanyakan status pesanan. selain itu karyawan kafe mengobrol dan bercanda sendiri padahal ada pelanggan yang sudah menunggu untuk dilayani. hal seperti ini tidak seharusnya terjadi di kafe;pelayanan;akhir kali kunjung teman rasa sama alam layan buruk pernah rasa kafe mulai sikap layan tidak ramah hingga pesan datang sangat lama belum pesan tidak kunjung datang meski tunggu sangat lama meja paksa hampir kasir tanya status pesan karyawan kafe obrol canda sendiri padahal langgan tunggu layan tidak jadi kafe;50
suasana kafe meine welt kurang nyaman untuk kerja atau belajar karena terlalu ramai dan berisik, apalagi saat itu saya sedang buru-buru. pencahayaan juga kurang mendukung dan kursi di kafe ini goyang dan tidak stabil membuat tidak nyaman saat duduk, beberapa kursi bahkan sudah rusak kakinya. hal ini sangat mengganggu kenyamanan saya;suasana;suasana kafe meine welt kurang nyaman kerja ajar terlalu ramai berisik sedang buru buru cahaya kurang dukung kursi kafe goyang tidak stabil buat tidak nyaman duduk beberapa kursi bahkan rusak kaki sangat ganggu nyaman;34
sore tadi ketika saya mampir, padahal saya sudah reservasi sebelumnya. AC di kafe ini kurang dingin apalagi saat siang hari, rasanya gerah sekali duduk di dalam. seharusnya AC dirawat secara berkala supaya pelanggan tetap merasa nyaman saat berkunjung. saya terpaksa memberi keluhan karena sudah kesal. parahnya kebersihan dan kenyamanan kafe harus menjadi prioritas utama;suasana;sore tadi mampir padahal reservasi belum ac kafe kurang dingin siang hari rasa gerah sekali duduk ac rawat kala langgan tetap rasa nyaman kunjung paksa beri keluh kesal parah bersih nyaman kafe jadi prioritas utama;35
waktu saya mau mengerjakan tugas di sini, harga minuman di sini sangat tidak sebanding dengan rasa yang didapat, bayar mahal tapi rasa biasa saja. kafe lain dengan harga yang sama bisa memberikan minuman yang jauh lebih enak. sungguh mengecewakan untuk kafe sekelas meine welt;harga;waktu mau kerja tugas sini harga minum sini sangat tidak banding rasa dapat bayar mahal rasa biasa kafe harga sama beri minum jauh lebih enak sungguh kecewa kafe kelas meine welt;31
bekas makanan yang jatuh di lantai tidak segera dibersihkan oleh staf kafe sehingga terlihat sangat jorok dan rasanya buruk dipandang. ditambah lagi wifi password susah didapat karena harus tanya ke pelayan berkali-kali, kadang pelayan juga tidak tahu passwordnya. belum lagi tempat sampah di sudut kafe sudah penuh sampai meluber dan mengeluarkan bau tidak sedap, sepertinya sudah kelamaan tidak dibuang. saya tidak menyangka kafe ini bisa seburuk ini;suasana;bekas makan jatuh lantai tidak segera bersih staf kafe lihat sangat jorok rasa buruk pandang tambah wifi password susah dapat tanya layan kali kali kadang layan tidak tahu passwordnya belum tempat sampah sudut kafe penuh luber keluar bau tidak sedap seperti lama tidak buang tidak sangka kafe buruk;48
waktu saya nongkrong di kafe ini, padahal saat itu saya membawa tamu penting. pesanan diminta dibatalkan karena menunggu terlalu lama tapi tetap dibuatkan dan ditagihkan ke saya, ini sangat tidak adil. masalah lainnya adalah pesanan saya tidak kunjung datang meski sudah menunggu sangat lama di meja, saya terpaksa menghampiri kasir untuk menanyakan status pesanan;pelayanan;waktu nongkrong kafe padahal bawa tamu penting pesan minta batal tunggu terlalu lama tetap buat tagih sangat tidak adil masalah lain pesan tidak kunjung datang meski tunggu sangat lama meja paksa hampir kasir tanya status pesan;36
hari ini pengalaman saya banget parah karena menu yang saya pesan ternyata sudah habis tapi baru dikasih tahu setelah menunggu 20 menit, sangat memalukan di depan keluarga saya. seharusnya pelayan memberitahu sejak awal supaya saya bisa memilih menu yang lain. ini membuat pengalaman makan saya jadi tidak menyenangkan;pelayanan;hari alam sangat parah menu pesan nyata habis baru kasih tahu tunggu menit sangat malu depan keluarga layan memberitahu sejak awal pilih menu buat alam makan jadi tidak senang;29
pas saya lagi istirahat siang di kafe, padahal saya sudah reservasi sebelumnya. musik di kafe ini terlalu keras volumenya sampai harus berteriak untuk mengobrol dengan teman, sangat mengganggu kenyamanan dan bekas makanan yang jatuh di lantai tidak segera dibersihkan oleh staf kafe sehingga terlihat sangat jorok dan tidak enak dipandang. yang lebih parah lagi AC di kafe ini kurang dingin apalagi saat siang hari, rasanya gerah sekali duduk di dalam;suasana;pas istirahat siang kafe padahal reservasi belum musik kafe terlalu keras volume teriak obrol teman sangat ganggu nyaman bekas makan jatuh lantai tidak segera bersih staf kafe lihat sangat jorok tidak enak pandang lebih parah ac kafe kurang dingin siang hari rasa gerah sekali duduk;45
harga menu di kafe naik tapi porsi makanan dan minumannya tetap sama tidak ada peningkatan, padahal saya sudah reservasi sebelumnya. banget menyesal sebagai pelanggan setia yang sudah sering berkunjung ke kafe meine welt. hal ini diperparah dengan saya berharap ada penyesuaian harga yang lebih masuk akal;harga;harga menu kafe naik porsi makan minum tetap sama tidak tingkat padahal reservasi belum sangat sesal langgan setia sering kunjung kafe meine welt parah harap sesuai harga lebih masuk akal;30
terakhir kali saya berkunjung, nasi goreng harganya selangit padahal rasa dan porsinya biasa aja seperti nasi goreng gerobak, tidak ada yang istimewa sama sekali. sangat overpriced untuk menu sesederhana nasi goreng. saya sangat kecewa dengan pengalaman ini;harga;akhir kali kunjung nasi goreng harga langit padahal rasa porsi biasa nasi goreng gerobak tidak istimewa sama sekali sangat mahal menu sederhana nasi goreng sangat kecewa alam;27
pembayaran menggunakan qris sering error di kasir meine welt, saya harus mencoba berkali-kali baru berhasil.. ini membuat pengalaman makan saya jadi tidak menyenangkan. seharusnya sistem pembayaran digital dijaga agar selalu berfungsi baik.;pelayanan;bayar guna qris sering error kasir meine welt coba kali kali baru hasil buat alam makan jadi tidak senang sistem bayar digital jaga selalu fungsi baik;26
harga french fries di kafe meine welt amat kemahalan untuk porsi yang sangat sedikit, padahal review di internet bilang kafe ini bagus.. cuma segenggam kentang goreng.. di restoran fast food harga segitu bisa dapat porsi dua kali lipat.. saya sangat kecewa dengan pengalaman ini;harga;harga french fries kafe meine welt mahal porsi sangat sedikit padahal review internet bilang kafe bagus cuma genggam kentang goreng restoran cepat food harga segitu porsi kali lipat sangat kecewa alam;31
singkong goreng yang saya pesan terlalu berminyak dan greasy, rasanya juga tidak renyah seperti yang diharapkan. masalah lainnya adalah chicken katsu yang saya pesan porsinya sangat kecil tidak sebanding dengan harganya yang cukup mahal, sepotong ayam tipis dengan nasi sedikit saja;produk;singkong goreng pesan terlalu minyak greasy rasa tidak renyah harap masalah lain chicken katsu pesan porsi sangat kecil tidak banding harga cukup mahal potong ayam tipis nasi sedikit;28
saat saya datang bersama teman, saat saya masuk kafe tidak ada sambutan sama sekali dari staf, saya harus mencari meja sendiri dan menunggu lama sampai ada pelayan yang menghampiri. pelayanan sangat buruk. saya berharap ada perbaikan secepatnya;pelayanan;datang sama teman masuk kafe tidak sambut sama sekali staf cari meja sendiri tunggu lama layan hampir layan sangat buruk harap baik cepat;23
pencahayaan di kafe terlalu redup di beberapa sudut sehingga sulit untuk membaca menu atau mengerjakan tugas. tidak hanya itu, saya datang jauh-jauh dari rumah ke sini. kursi di kafe ini goyang dan tidak stabil membuat tidak nyaman saat duduk, beberapa kursi bahkan sudah rusak kakinya. semoga kritik saya ini bisa menjadi bahan evaluasi;suasana;cahaya kafe terlalu redup beberapa sudut sulit baca menu kerja tugas tidak datang jauh jauh rumah sini kursi kafe goyang tidak stabil buat tidak nyaman duduk beberapa kursi bahkan rusak kaki moga kritik jadi bahan evaluasi;36
bekas makanan yang jatuh di lantai tidak segera dibersihkan oleh staf kafe sehingga terlihat banget jorok dan mengecewakan dipandang. lebih menyebalkan lagi toilet kafe meine welt kurang bersih dan berbau tidak sedap, sabun cuci tangan juga habis tidak diisi ulang. ini membuat pengalaman makan saya jadi tidak menyenangkan. yang membuat saya kesal adalah pelanggan betah berlama-lama kalau tempatnya nyaman dan bersih;suasana;bekas makan jatuh lantai tidak segera bersih staf kafe lihat sangat jorok kecewa pandang lebih sebal toilet kafe meine welt kurang bersih bau tidak sedap sabun cuci tangan habis tidak isi ulang buat alam makan jadi tidak senang buat kesal langgan betah lama lama kalau tempat nyaman bersih;48
terakhir kali saya berkunjung, antrian di kasir sangat panjang dan lambat sekali prosesnya, kasir hanya satu orang padahal pelanggan yang mengantri sudah banyak. seharusnya ditambah petugas kasir di jam ramai. ditambah dengan fakta bahwa saya tidak akan merekomendasikan kafe ini ke teman saya;pelayanan;akhir kali kunjung antri kasir sangat panjang lambat sekali proses kasir satu orang padahal langgan antri banyak tambah tugas kasir jam ramai tambah fakta tidak rekomendasi kafe teman;28
waktu saya nongkrong di kafe ini, kafe meine welt terlalu berisik sehingga saya tidak bisa fokus mengerjakan tugas kuliah, sepertinya tidak ada pengelolaan kebisingan yang baik. sangat mengganggu bagi yang butuh ketenangan;suasana;waktu nongkrong kafe kafe meine welt terlalu berisik tidak fokus kerja tugas kuliah seperti tidak kelola bising baik sangat ganggu butuh tenang;22
setiap kali saya datang ke kafe ini selalu saja harga french fries di kafe meine welt super mahal untuk porsi yang banget sedikit, padahal saat itu saya membawa tamu penting. cuma segenggam kentang goreng. belum lagi harga beef teriyaki di kafe ini sangat tidak worth it untuk kualitas daging dan porsi yang diberikan, dagingnya sedikit dan keras. saya harap pihak kafe tidak mengabaikan keluhan pelanggan;harga;kali datang kafe selalu harga french fries kafe meine welt super mahal porsi sangat sedikit padahal bawa tamu penting cuma genggam kentang goreng belum harga beef teriyaki kafe sangat tidak padan it kualitas daging porsi beri daging sedikit keras harap pihak kafe tidak abai keluh langgan;46
kasir salah menghitung kembalian uang saya, untung saya sadar dan langsung meminta kekurangannya. selain itu tidak akan datang lagi ke kafe ini kalau pelayanannya masih seperti ini, sangat mengecewakan dan membuang waktu. ini bukan pertama kalinya saya mengalami hal seperti ini. saya juga merasa pengalaman ini membuat saya kapok datang lagi;pelayanan;kasir salah hitung kembali uang untung sadar langsung minta kurang tidak datang kafe kalau layan sangat kecewa buang waktu bukan pertama kali alami rasa alam buat kapok datang;28
tidak akan datang lagi ke kafe ini kalau pelayanannya masih seperti ini, sangat mengecewakan dan membuang waktu dan pelayanan di kafe ini sangat lamban, saya sudah memanggil pelayan berkali-kali tapi tidak ada yang datang menghampiri meja saya untuk mengambil pesanan. saya tidak menyangka kafe ini bisa seburuk ini;pelayanan;tidak datang kafe kalau layan sangat kecewa buang waktu layan kafe sangat lamban panggil layan kali kali tidak datang hampir meja ambil pesan tidak sangka kafe buruk;27
isi sandwich yang saya pesan cuma tipis sekali, banyak teman saya yang juga mengeluhkan hal ini. lebih banyak rotinya daripada isinya. untuk kafe yang menjual sandwich dengan harga premium seharusnya isiannya lebih tebal dan generous. ini membuat pengalaman makan saya jadi tidak menyenangkan. ditambah dengan fakta bahwa mungkin perlu mengganti supplier bahan baku yang lebih baik;produk;isi sandwich pesan cuma tipis sekali banyak teman keluh lebih banyak roti isi kafe jual sandwich harga premium isi lebih tebal generous buat alam makan jadi tidak senang tambah fakta mungkin perlu ganti supplier bahan baku lebih baik;38
pencahayaan di kafe terlalu redup di beberapa sudut sehingga sulit untuk membaca menu atau mengerjakan tugas, seharusnya penerangan ditambah atau diperbaiki agar pelanggan lebih nyaman. ditambah dengan fakta bahwa suasana yang baik bisa meningkatkan pengalaman pelanggan;suasana;cahaya kafe terlalu redup beberapa sudut sulit baca menu kerja tugas terang tambah baik langgan lebih nyaman tambah fakta suasana baik tingkat alam langgan;24
beberapa hari lalu saat berkunjung, nasi goreng harganya selangit padahal rasa dan porsinya biasa aja seperti nasi goreng gerobak, tidak ada yang istimewa sama sekali. sangat overpriced untuk menu sesederhana nasi goreng;harga;beberapa hari lalu kunjung nasi goreng harga langit padahal rasa porsi biasa nasi goreng gerobak tidak istimewa sama sekali sangat mahal menu sederhana nasi goreng;25
pagi ini waktu saya sarapan di kafe, pesanan makanan saya datangnya sangat lama padahal teman saya yang pesan bersamaan sudah dapat duluan. bukan cuma itu, pelayan sangat lambat melayani pesanan saya, padahal kafe sedang tidak ramai sama sekali;pelayanan;pagi waktu sarap kafe pesan makan datang sangat lama padahal teman pesan sama duluan bukan cuma layan sangat lambat layan pesan padahal kafe sedang tidak ramai sama sekali;28
wifi password susah didapat karena harus tanya ke pelayan berkali-kali, saya sangat menyesal sudah memilih kafe ini.. kadang pelayan juga tidak tahu passwordnya.. seharusnya password wifi ditempel di tempat yang mudah terlihat;suasana;wifi password susah dapat tanya layan kali kali sangat sesal pilih kafe kadang layan tidak tahu passwordnya password wifi tempel tempat mudah lihat;23
pelayan bermuka masam saat saya bertanya tentang menu yang tersedia, saya sudah beberapa kali mengalami hal ini.. saya sangat kecewa dengan pengalaman ini. padahal saya hanya ingin tahu rekomendasi menu.. sikap seperti ini membuat pelanggan tidak nyaman berkunjung.;pelayanan;layan muka masam tanya menu sedia beberapa kali alami sangat kecewa alam padahal tahu rekomendasi menu sikap buat langgan tidak nyaman kunjung;22
saya tidak puas karena pesanan saya baru datang setelah menunggu 40 menit lebih, saya sampai tidak mau kembali lagi ke sini. padahal saya hanya memesan minuman saja. seharusnya tidak sekelamaan itu untuk membuat satu gelas kopi;pelayanan;tidak puas pesan baru datang tunggu menit lebih tidak mau sini padahal mes minum tidak lama buat satu gelas kopi;20
pagi ini waktu saya sarapan di kafe, taro yang saya pesan kemanisan sampai bikin eneg dan mual, sepertinya kebanyakan gula atau sirup. tidak hanya itu, baby cumi yang saya pesan teksturnya banget alot dan keras seperti karet, tidak bisa dikunyah dengan enak;produk;pagi waktu sarap kafe taro pesan manis bikin eneg mual seperti banyak gula sirup tidak baby cumi pesan tekstur sangat alot keras karet tidak kunyah enak;26
beberapa hari lalu saat berkunjung, saya sampai tidak mau kembali lagi ke sini.. saya juga kecewa karena pelayan sangat lambat melayani pesanan saya, padahal kafe sedang tidak ramai sama sekali. pelayanan hari ini sangat lamban sekali, untuk membuat satu gelas minuman saja butuh waktu 20 menit.. masalah lainnya adalah pelayan bermuka masam saat saya bertanya tentang menu yang tersedia, padahal saya hanya ingin tahu rekomendasi menu.;pelayanan;beberapa hari lalu kunjung tidak mau sini kecewa layan sangat lambat layan pesan padahal kafe sedang tidak ramai sama sekali layan hari sangat lamban sekali buat satu gelas minum butuh waktu menit masalah lain layan muka masam tanya menu sedia padahal tahu rekomendasi menu;44
pagi ini waktu saya sarapan di kafe, karyawan kafe sibuk main handphone saat ada pelanggan yang membutuhkan bantuan, ini sangat tidak profesional. seharusnya ada aturan tegas untuk tidak bermain hp saat jam kerja;pelayanan;pagi waktu sarap kafe karyawan kafe sibuk main handphone langgan butuh bantu sangat tidak profesional atur tegas tidak main hp jam kerja;22
wifi password susah didapat karena harus tanya ke pelayan berkali-kali, apalagi saat itu saya sedang buru-buru. kadang pelayan juga tidak tahu passwordnya. seharusnya password wifi ditempel di tempat yang mudah terlihat. saya juga merasa saya harap manajemen kafe memperhatikan kenyamanan pelanggan;suasana;wifi password susah dapat tanya layan kali kali sedang buru buru kadang layan tidak tahu passwordnya password wifi tempel tempat mudah lihat rasa harap manajemen kafe perhati nyaman langgan;29
kafe meine welt terlalu berisik sehingga saya tidak bisa fokus mengerjakan tugas kuliah, sepertinya tidak ada pengelolaan kebisingan yang baik dan tempat duduk di kafe meine welt kurang nyaman untuk duduk dalam waktu lama, kursinya keras dan tidak ergonomis. ditambah lagi ventilasi udara di kafe meine welt kurang baik sehingga terasa pengap dan spiritual di dalam ruangan, apalagi saat banyak pelanggan. ironisnya saya berharap manajemen segera merenovasi dan memperbaiki kafe;suasana;kafe meine welt terlalu berisik tidak fokus kerja tugas kuliah seperti tidak kelola bising baik tempat duduk kafe meine welt kurang nyaman duduk waktu lama kursi keras tidak ergonomis tambah ventilasi udara kafe meine welt kurang baik asa pengap spiritual ruang banyak langgan ironis harap manajemen segera renovasi baik kafe;50
saat saya datang bersama teman, ini bukan pertama kalinya terjadi.. tidak sebanding dengan harga yang harus saya bayar untuk pelayanan seperti ini. pelayanan hari ini sangat lamban sekali, untuk membuat satu gelas minuman saja butuh waktu 20 menit. parahnya saya tidak akan merekomendasikan kafe ini ke teman saya;pelayanan;datang sama teman bukan pertama kali jadi tidak banding harga bayar layan layan hari sangat lamban sekali buat satu gelas minum butuh waktu menit parah tidak rekomendasi kafe teman;29
seharusnya kafe meine welt menyediakan promo buy one get one atau paket combo yang lebih murah untuk. ditambah lagi harga menu di kafe naik tapi porsi makanan dan minumannya tetap sama tidak ada peningkatan dan harga lavanilla di sini kemahalan padahal rasanya cuma gula dan susu doang tidak ada yang spesial, kafe;harga;kafe meine welt sedia promo buy one get one paket combo lebih murah tambah harga menu kafe naik porsi makan minum tetap sama tidak tingkat harga lavanilla sini mahal padahal rasa cuma gula susu tidak spesial kafe;37
minggu lalu waktu saya datang, saya sampai tidak mau kembali lagi ke sini. wifi di kafe mati total hari ini dan tidak ada penjelasan dari staf kapan akan diperbaiki, padahal saya datang khusus untuk mengerjakan tugas yang membutuhkan koneksi internet cepat. hal ini sangat mengganggu kenyamanan saya;suasana;minggu lalu waktu datang tidak mau sini wifi kafe mati total hari tidak jelas staf kapan baik padahal datang khusus kerja tugas butuh koneksi internet cepat sangat ganggu nyaman;29
bekas makanan yang jatuh di lantai tidak segera dibersihkan oleh staf kafe sehingga terlihat sangat jorok dan tidak enak dipandang.. tidak hanya itu, teman saya juga merasakan hal yang sama.. ini bukan pertama kalinya saya mengalami hal seperti ini. wifi di kafe meine welt sering putus-putus dan sangat lambat sehingga tidak bisa digunakan untuk kerja atau browsing. yang sangat disayangkan adalah kenyamanan tempat adalah alasan utama orang datang ke kafe;suasana;bekas makan jatuh lantai tidak segera bersih staf kafe lihat sangat jorok tidak enak pandang tidak teman rasa sama bukan pertama kali alami wifi kafe meine welt sering putus putus sangat lambat tidak guna kerja browsing sangat sayang nyaman tempat alas utama orang datang kafe;45
saya melihat banyak lalat berkeliaran di area makan kafe yang sangat mengganggu dan menjijikkan, ini menunjukkan kurangnya kontrol hama di kafe. lebih menyebalkan lagi kebersihan kafe secara keseluruhan sangat kurang dan perlu diperhatikan serius oleh manajemen, mulai. saya jadi berpikir dua kali untuk datang lagi. parahnya pelanggan betah berlama-lama kalau tempatnya nyaman dan bersih;suasana;lihat banyak lalat liar area makan kafe sangat ganggu jijik tunjuk kurang kontrol hama kafe lebih sebal bersih kafe seluruh sangat kurang perlu perhati serius manajemen mulai jadi pikir kali datang parah langgan betah lama lama kalau tempat nyaman bersih;40
AC di kafe ini kurang dingin apalagi saat siang hari, ini sangat merusak mood saya hari itu. rasanya gerah sekali duduk di dalam. yang lebih parah lagi kebersihan kafe secara keseluruhan sangat kurang dan perlu diperhatikan serius oleh manajemen, mulai. hal ini sangat mengganggu kenyamanan saya;suasana;ac kafe kurang dingin siang hari sangat rusak mood hari rasa gerah sekali duduk lebih parah bersih kafe seluruh sangat kurang perlu perhati serius manajemen mulai sangat ganggu nyaman;29
saat AC mati tempat langsung terasa amat panas dan tidak nyaman untuk berkelamaan-lama, padahal ini kunjungan pertama teman saya. saya terpaksa pindah ke luar tapi di luar juga panas. kafe harus punya AC cadangan untuk antisipasi. yang membuat saya kesal adalah investasi untuk perbaikan fasilitas pasti akan balik modal;suasana;ac mati tempat langsung asa panas tidak nyaman lama lama padahal kunjung pertama teman paksa pindah luar luar panas kafe punya ac cadang antisipasi buat kesal investasi baik fasilitas balik modal;31
seharusnya ada diskon khusus untuk pelajar dan mahasiswa yang menunjukkan kartu identitas kampus, saya berharap ini tidak terulang lagi kedepannya.. selain itu lebih murah makan di tempat lain yang rasanya bahkan lebih enak dari kafe meine welt.. bukan cuma itu, harga chicken katsu naik signifikan tapi porsinya malah terasa semakin mengecil dari sebelumnya, ini amat tidak fair bagi pelanggan.. hal seperti ini tidak seharusnya terjadi di kafe. ini bisa.;harga;diskon khusus ajar mahasiswa tunjuk kartu identitas kampus harap tidak ulang depan lebih murah makan tempat rasa bahkan lebih enak kafe meine welt bukan cuma harga chicken katsu naik signifikan porsi malah asa makin kecil belum tidak fair langgan tidak jadi kafe;42
setiap kali saya datang ke kafe ini selalu saja pesanan diminta dibatalkan karena menunggu amat lama tapi tetap dibuatkan dan ditagihkan ke saya, saya sampai tidak mau kembali lagi ke sini. ini amat tidak adil. belum lagi saya sangat kecewa dengan kualitas pelayanan yang diberikan kafe ini, tidak ada keramahan dan profesionalisme dari staf. tidak hanya itu, pelayan terlihat malas-malasan dan tidak semangat melayani pelanggan, mereka lebih sering duduk di;pelayanan;kali datang kafe selalu pesan minta batal tunggu lama tetap buat tagih tidak mau sini tidak adil belum sangat kecewa kualitas layan beri kafe tidak ramah profesionalisme staf tidak layan lihat malas malas tidak semangat layan langgan lebih sering duduk;40
beberapa hari lalu saat berkunjung, saya sudah beberapa kali mengalami hal ini.. saat AC mati tempat langsung terasa sangat panas dan tidak nyaman untuk berlama-lama, saya terpaksa pindah ke luar tapi di luar juga panas.. lebih menyebalkan lagi banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan sangat membutuhkan colokan untuk mengisi daya perangkat mereka;suasana;beberapa hari lalu kunjung beberapa kali alami ac mati tempat langsung asa sangat panas tidak nyaman lama lama paksa pindah luar luar panas lebih sebal banyak colok listrik kafe rusak tidak fungsi padahal langgan sangat butuh colok isi daya perangkat;40
setiap kali saya datang ke kafe ini selalu saja kopi americano di kafe meine welt amat pahit rasanya dan tidak balance sama sekali, sepertinya biji. yang lebih parah lagi indomie yang disajikan tidak cukup bumbu dan rasanya hambar, padahal di tempat lain indomie selalu enak. bukan cuma itu, french fries yang saya pesan lembek dan tidak crispy sama sekali seperti kentang yang sudah digoreng dari tadi pagi lalu dihangatkan ulang;produk;kali datang kafe selalu kopi americano kafe meine welt pahit rasa tidak balance sama sekali seperti biji lebih parah indomie saji tidak cukup bumbu rasa hambar padahal tempat indomie selalu enak bukan cuma french fries pesan lembek tidak crispy sama sekali kentang goreng tadi pagi lalu hangat ulang;48
harga chicken katsu naik signifikan tapi porsinya malah terasa semakin mengecil dari sebelumnya, saya sangat menyesal sudah memilih kafe ini. ini sangat tidak fair bagi pelanggan. ditambah lagi bayar mahal untuk makan dan minum di sini tapi kualitasnya biasa aja dan tidak ada yang spesial. lebih menyebalkan lagi harga menu di kafe meine welt tidak masuk akal untuk kafe yang ada di daerah kampus. saya juga merasa seharusnya harga sebanding dengan kualitas yang diberikan;harga;harga chicken katsu naik signifikan porsi malah asa makin kecil belum sangat sesal pilih kafe sangat tidak fair langgan tambah bayar mahal makan minum sini kualitas biasa tidak spesial lebih sebal harga menu kafe meine welt tidak masuk akal kafe daerah kampus rasa harga banding kualitas beri;47
tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, padahal ini kunjungan pertama teman saya. semua harganya di atas rata-rata. yang lebih parah lagi harga chicken katsu di kafe ini kekemahalanan untuk porsi yang banget sedikit, cuma sepotong ayam kecil tipis. hal seperti ini tidak seharusnya terjadi di kafe;harga;tidak menu murah jangkau kantong mahasiswa kafe padahal kunjung pertama teman semua harga atas rata rata lebih parah harga chicken katsu kafe kekemahalanan porsi sangat sedikit cuma potong ayam kecil tipis tidak jadi kafe;34
saat saya datang bersama teman, banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan amat membutuhkan colokan untuk mengisi daya perangkat mereka. tolong segera diperbaiki;suasana;datang sama teman banyak colok listrik kafe rusak tidak fungsi padahal langgan butuh colok isi daya perangkat segera baik;19
malam ini saya kecewa karena staff kurang sigap dalam membersihkan meja yang sudah kotor, padahal ini kunjungan pertama teman saya. saya harus menunggu cukup lama sampai meja dibersihkan padahal banyak pelanggan yang sudah mengantri untuk duduk. hal seperti ini tidak seharusnya terjadi di kafe;pelayanan;malam kecewa staff kurang sigap bersih meja kotor padahal kunjung pertama teman tunggu cukup lama meja bersih padahal banyak langgan antri duduk tidak jadi kafe;25
